Naziv usluge;Maloprodajna cijena;Poseban oblik prodaje;Sidrena cijena
Pranje i glačanje - PLAHTA (KOM);1,30 EUR;NE;1,30 EUR
Pranje ili glačanje - PLAHTA (KOM);1,10 EUR;NE;1,10 EUR
Pranje i glačanje - PLAHTA DUPLA (KOM);1,90 EUR;NE;1,90 EUR
Pranje ili glačanje - PLAHTA DUPLA (KOM);1,70 EUR;NE;1,70 EUR
Pranje i glačanje - PLAHTA GUMICA (KOM);1,70 EUR;NE;1,70 EUR
Pranje ili glačanje - PLAHTA GUMICA (KOM);1,60 EUR;NE;1,60 EUR
Pranje i glačanje - PLAHTA GUMICA DUPLA (KOM);1,90 EUR;NE;1,90 EUR
Pranje ili glačanje - PLAHTA GUMICA DUPLA (KOM);1,80 EUR;NE;1,80 EUR
Pranje i glačanje - STOLNJAK (KOM);1,30 EUR;NE;1,30 EUR
Pranje ili glačanje - STOLNJAK (KOM);1,10 EUR;NE;1,10 EUR
Pranje i glačanje - STOLNJAK VELIKI (KOM);1,70 EUR;NE;1,70 EUR
Pranje ili glačanje - STOLNJAK VELIKI (KOM);1,50 EUR;NE;1,50 EUR
Pranje i glačanje - NADSTOLNJAK (KOM);0,90 EUR;NE;0,90 EUR
Pranje ili glačanje - NADSTOLNJAK (KOM);0,70 EUR;NE;0,70 EUR
Pranje i glačanje - KRPA KUHINJSKA/UBRUS (KOM);0,35 EUR;NE;0,35 EUR
Pranje ili glačanje - KRPA KUHINJSKA/UBRUS (KOM);0,30 EUR;NE;0,30 EUR
Pranje i glačanje - SJEDALICA ZA STOLICU (KOM);2,60 EUR;NE;2,60 EUR
Pranje i glačanje - SJEDALICA ZA STOLICU S NASLONOM (KOM);3,90 EUR;NE;3,90 EUR
Pranje i glačanje - ZAVJESE (m2);1,20 EUR;NE;1,20 EUR
Pranje ili glačanje - ZAVJESE (m2);1,10 EUR;NE;1,10 EUR
Pranje i glačanje - DEKORI (m2);1,60 EUR;NE;1,60 EUR
Pranje ili glačanje - DEKORI (m2);1,40 EUR;NE;1,40 EUR
Pranje rublja 4+ kg* (KG);2,80 EUR;NE;2,80 EUR
Glačanje rublja 4+ kg* (KG);2,80 EUR;NE;2,80 EUR
Pranje i glačanje rublja 4+ kg* (KG);3,90 EUR;NE;3,90 EUR
Dostava** (KOM);3,00 EUR;NE;3,00 EUR
